"End Time","In","Out","Total Inside","Luma","Lightness"
"2023-04-14 16:59:00.203585","1","","7","0.23867301585762532","55.95468829556424"
"","2","","","0.24002007231578598","56.08980376122844"
"","3","","","0.23767426675807166","55.85418097592745"
"","4","","","0.23899847779494943","55.98737998952339"
"","5","","","0.11241619197039153","39.984475328972046"
"","6","","","0.11377876723269913","40.20975994449504"
"","7","","","0.1723853963899719","48.55920095397639"
"","","","","0.19787910957657126","51.596566722044344"
"","","","","0.36352278537525995","66.78821807983793"
"","","","","0.27468605079476716","59.40558687769257"
"","","","","0.09787434504082786","37.45819352269237"
"","","","","0.23957159992578253","56.044876346958006"
"","","","","0.23889366503914247","55.97685509831902"
"","","","","0.24493537136985463","56.578584084486096"
"","","","","0.2458930218249429","56.67305053672696"
"","","","","0.23585433541624493","55.67030904104085"
